Order_ID,Customer_Location,Restaurant_Location,Distance,Weather_Conditions,Traffic_Conditions,Delivery_Person_Experience,Order_Priority,Order_Time,Vehicle_Type,Restaurant_Rating,Customer_Rating,Delivery_Time,Order_Cost,Tip_Amount,Air_Pollution_Index,Water_Pollution_Index,Soil_Pollution_Index,CO2_Emissions,Industrial_Waste_in_tons,Energy_Consumption,Population,Energy_Recovery_GWh,Country,Year,Energy_Consumption_per_Capita,Total_Pollution_Index,Pollution_Severity
ORD0001,"(17.030479, 79.743077)","(12.358515, 85.100083)",1.57,Rainy,Medium,4,Medium,Afternoon,Car,4.1,3.0,26.22,1321.1,81.54,78.312,72.85,86.68299999999999,10.29135,18.455,691.9499999999999,125209,58.44804999999999,"(17.030479, 79.743077)",2024,0.005526359926203387,237.84499999999997,Low
ORD0002,"(15.398319, 86.639122)","(14.174874, 77.025606)",21.32,Cloudy,Medium,8,Low,Night,Car,4.5,4.2,62.61,152.21,29.02,267.5192,185.2,104.3563,333.7113,14.0441,502.505,488439,138.566845,"(15.398319, 86.639122)",2024,0.0010287978642164119,557.0755,High
ORD0003,"(15.687342, 83.888808)","(19.594748, 82.048482)",6.95,Snowy,Medium,9,High,Night,Bike,3.3,3.4,48.43,1644.38,64.17,161.13260000000002,94.95,109.21640000000001,84.147125,26.129800000000003,961.19,271735,94.16416000000001,"(15.687342, 83.888808)",2024,0.0035372329659410823,365.29900000000004,Low
ORD0004,"(20.415599, 78.046984)","(16.915906, 78.278698)",13.79,Cloudy,Low,2,Medium,Evening,Bike,3.2,3.7,111.63,541.25,79.23,288.59,130.54999999999998,111.0125,384.84442499999994,27.738500000000002,546.425,176674,140.43427499999999,"(20.415599, 78.046984)",2024,0.003092843315937829,530.1525,High
ORD0005,"(14.786904, 78.706532)","(15.206038, 86.203182)",6.72,Rainy,High,6,Low,Night,Bike,3.5,2.8,32.38,619.81,2.34,114.7262,91.0,46.6443,54.3984,12.6741,444.30499999999995,433574,64.684145,"(14.786904, 78.706532)",2024,0.0010247501003288941,252.3705,Low
ORD0006,"(15.560205, 80.59125)","(12.478068, 78.823965)",10.0,Rainy,High,10,Medium,Evening,Bicycle,2.8,3.3,60.72,860.35,57.9,188.28699999999998,104.4,94.76050000000001,151.8,20.747500000000002,630.175,260797,99.879175,"(15.560205, 80.59125)",2024,0.002416342979405438,387.4475,Medium
ORD0007,"(21.397639, 84.89693)","(15.934011, 86.767357)",5.15,Sunny,Medium,6,High,Evening,Car,4.4,4.5,28.76,649.45,68.66,97.32900000000001,105.75,74.4135,37.0285,12.246500000000001,427.725,54033,66.40932500000001,"(21.397639, 84.89693)",2024,0.00791599578035645,277.4925,Low
ORD0008,"(12.512731, 86.268971)","(12.019922, 78.4686)",22.57,Snowy,Medium,7,Low,Evening,Bicycle,3.2,4.3,57.28,314.27,1.24,272.7654,179.25,100.3281,323.2024,14.598700000000001,608.535,487999,138.568315,"(12.512731, 86.268971)",2024,0.0012470005061485782,552.3435,High
ORD0009,"(18.814724, 86.95472)","(15.30437, 84.059261)",13.19,Snowy,Medium,8,Low,Night,Bicycle,3.2,3.0,47.22,1223.05,39.0,200.81099999999998,121.95,108.9515,155.70794999999998,21.674500000000002,875.325,166185,109.64582499999999,"(18.814724, 86.95472)",2024,0.005267172127448326,431.7125,Medium
ORD0010,"(14.364647, 87.968582)","(13.508338, 84.206901)",19.56,Snowy,Medium,8,High,Afternoon,Bicycle,3.7,4.1,81.55,419.26,24.52,287.19019999999995,167.60000000000002,103.0778,398.7795,20.502599999999997,600.8299999999999,461400,143.33977,"(14.364647, 87.968582)",2024,0.0013021889900303423,557.8679999999999,High
