False_Positive_Rate,True_Positive_Rate,Threshold
0.0,0.0,inf
0.0,0.05,0.7309005062411009
0.0,0.2,0.6172853231009576
0.05,0.2,0.6147153386724813
0.05,0.25,0.6055491492705926
0.2,0.25,0.5737824933081892
0.2,0.3,0.5718753932459519
0.25,0.3,0.5664837445856816
0.25,0.35,0.5490010854360278
0.3,0.35,0.5377843739520052
0.3,0.4,0.5299381499919575
0.35,0.4,0.5193989956660514
0.35,0.45,0.5163882919993248
0.4,0.45,0.5158715685729188
0.4,0.6,0.49269604263689015
0.6,0.6,0.46640887603013337
0.6,0.65,0.46352942763304633
0.65,0.65,0.4564469766027206
0.65,0.75,0.45563312908205006
0.7,0.75,0.450933532061162
0.7,0.8,0.4508356167574125
0.75,0.8,0.44152571689537073
0.75,0.85,0.43702952497480635
0.85,0.85,0.4049401758991762
0.85,1.0,0.3540668908852987
1.0,1.0,0.30094603062358455
